game_id,venue,venue_time_zone_tz
2014020098,Scotiabank Saddledome,MDT
2014020202,BB&T Center,EDT
2014020273,MTS Centre,CDT
2014020514,First Niagara Center,EDT
2014020310,Honda Center,PDT
2014021090,Nassau Coliseum,EDT
2014020183,Gila River Arena,MST
2014020603,Xcel Energy Center,CDT
2014020289,STAPLES Center,PDT
2014021176,Bridgestone Arena,CDT
2014020896,Madison Square Garden,EDT
2014020783,SAP Center at San Jose,PDT
2014020800,Air Canada Centre,EDT
2014021174,Madison Square Garden,EDT
2014020993,PNC Arena,EDT
2014020477,MTS Centre,CDT
2014020617,Verizon Center,EDT
2014021230,Rogers Arena,PDT
2014020721,SAP Center at San Jose,PDT
2014020729,Canadian Tire Centre,EDT
2014020096,Bridgestone Arena,CDT
2014020745,Prudential Center,EDT
2014020830,Pepsi Center,MDT
2014021083,Prudential Center,EDT
2014020387,Xcel Energy Center,CDT
2014020571,MTS Centre,CDT
2014021165,Honda Center,PDT
2014021217,Verizon Center,EDT
2014020941,SAP Center at San Jose,PDT
2014020761,Canadian Tire Centre,EDT
2014020078,Rexall Place,MDT
2014021032,American Airlines Center,CDT
2014020767,Rogers Arena,PDT
2014021089,Rexall Place,MDT
2014020668,American Airlines Center,CDT
2014020749,Centre Bell,EDT
2014020237,Scottrade Center,CDT
2014020977,Gila River Arena,MST
2014020608,Prudential Center,EDT
2014020338,Prudential Center,EDT
2014020502,STAPLES Center,PDT
2014020697,Nassau Coliseum,EDT
2014020301,Verizon Center,EDT
2014021192,Canadian Tire Centre,EDT
2014020374,MTS Centre,CDT
2014020474,Prudential Center,EDT
2014020647,Canadian Tire Centre,EDT
2014020555,Scotiabank Saddledome,MDT
2014021207,BB&T Center,EDT
2014020722,Prudential Center,EDT
2014021064,Amalie Arena,EDT
2014020343,American Airlines Center,CDT
2014020862,CONSOL Energy Center,EDT
2014020638,American Airlines Center,CDT
2014020047,Joe Louis Arena,EDT
2014020459,Bridgestone Arena,CDT
2014020115,Gila River Arena,MST
2014020507,Xcel Energy Center,CDT
2014020415,Xcel Energy Center,CDT
2014021218,MTS Centre,CDT
2014020390,CONSOL Energy Center,EDT
2014020533,Canadian Tire Centre,EDT
2014020836,Honda Center,PDT
2014020252,Centre Bell,EDT
2014021182,Air Canada Centre,EDT
2014020585,Wells Fargo Center,EDT
2014020855,Scotiabank Saddledome,MDT
2014020769,Verizon Center,EDT
2014020249,American Airlines Center,CDT
2014020981,Prudential Center,EDT
2014020854,United Center,CDT
2014020340,Nationwide Arena,EDT
2014020807,United Center,CDT
2014020877,Canadian Tire Centre,EDT
2014020890,Madison Square Garden,EDT
2014020421,TD Garden,EDT
2014020246,BB&T Center,EDT
2014020012,Bridgestone Arena,CDT
2014020050,Nassau Coliseum,EDT
2014021191,Wells Fargo Center,EDT
2014020630,TD Garden,EDT
2014020132,American Airlines Center,CDT
2014020152,SAP Center at San Jose,PDT
2014021169,MTS Centre,CDT
2014021138,United Center,CDT
2014021052,Honda Center,PDT
2014021137,Scottrade Center,CDT
2014020934,BB&T Center,EDT
2014020809,Nassau Coliseum,EDT
2014020460,MTS Centre,CDT
2014020625,United Center,CDT
2014021027,Gila River Arena,MST
2014020731,Prudential Center,EDT
2014020123,Rexall Place,MDT
2014020506,Madison Square Garden,EDT
2014020424,Verizon Center,EDT
2014021016,Xcel Energy Center,CDT
2014020710,STAPLES Center,PDT
2014020792,Prudential Center,EDT
2014020984,TD Garden,EDT
2014020604,Pepsi Center,MDT
2014020839,Canadian Tire Centre,EDT
2014021020,SAP Center at San Jose,PDT
2014021188,Rogers Arena,PDT
2014020667,Scottrade Center,CDT
2014020813,Amalie Arena,EDT
2014021104,Verizon Center,EDT
2014020707,Rogers Arena,PDT
2014021015,Nationwide Arena,EDT
2014020765,Pepsi Center,MDT
2014020982,Xcel Energy Center,CDT
2014021128,Madison Square Garden,EDT
2014020519,Nationwide Arena,EDT
2014020918,Nassau Coliseum,EDT
2014020947,Xcel Energy Center,CDT
2014020841,MTS Centre,CDT
2014020753,American Airlines Center,CDT
2014020218,TD Garden,EDT
2014020177,Centre Bell,EDT
2014020272,Centre Bell,EDT
2014020620,Scottrade Center,CDT
2014020058,Nationwide Arena,EDT
2014020633,CONSOL Energy Center,EDT
2014020689,United Center,CDT
2014020983,Canadian Tire Centre,EDT
2014020651,American Airlines Center,CDT
2014020017,PNC Arena,EDT
2014020069,Verizon Center,EDT
2014020787,First Niagara Center,EDT
2014020200,United Center,CDT
2014020631,First Niagara Center,EDT
2014020128,Nationwide Arena,EDT
2014020468,CONSOL Energy Center,EDT
2014020738,Centre Bell,EDT
2014020664,Joe Louis Arena,EDT
2014021136,Centre Bell,EDT
2014020520,Xcel Energy Center,CDT
2014020119,United Center,CDT
2014020660,TD Garden,EDT
2014021114,Rexall Place,MDT
2014020818,Nationwide Arena,EDT
2014020245,Joe Louis Arena,EDT
2014020102,MTS Centre,CDT
2014021156,Joe Louis Arena,EDT
2014020705,Scotiabank Saddledome,MDT
2014020110,Nassau Coliseum,EDT
2014020055,STAPLES Center,PDT
2014020632,Madison Square Garden,EDT
2014020305,Scotiabank Saddledome,MDT
2014020714,Air Canada Centre,EDT
2014020140,CONSOL Energy Center,EDT
2014020413,Centre Bell,EDT
2014020542,Bridgestone Arena,CDT
2014021117,Nassau Coliseum,EDT
2014020311,Rogers Arena,PDT
2014020692,CONSOL Energy Center,EDT
2014020758,Scotiabank Saddledome,MDT
2014020332,Bridgestone Arena,CDT
2014020365,Verizon Center,EDT
2014020367,Air Canada Centre,EDT
2014021093,Nationwide Arena,EDT
2014020336,TD Garden,EDT
2014020392,Air Canada Centre,EDT
2014020661,First Niagara Center,EDT
2014021029,STAPLES Center,PDT
2014020699,CONSOL Energy Center,EDT
2014020810,PNC Arena,EDT
2014020180,MTS Centre,CDT
2014021198,Scotiabank Saddledome,MDT
2014020527,BB&T Center,EDT
2014020723,PNC Arena,EDT
2014020161,Scottrade Center,CDT
2014021009,Pepsi Center,MDT
2014020882,Gila River Arena,MST
2014020151,Scotiabank Saddledome,MDT
2014020013,American Airlines Center,CDT
2014021159,Xcel Energy Center,CDT
2014020500,Rogers Arena,PDT
2014020986,Air Canada Centre,EDT
2014020592,Rexall Place,MDT
2014020901,Xcel Energy Center,CDT
2014020493,TD Garden,EDT
2014020171,Madison Square Garden,EDT
2014020269,Nassau Coliseum,EDT
2014020278,Madison Square Garden,EDT
2014020117,MTS Centre,CDT
2014020356,Joe Louis Arena,EDT
2014020577,Verizon Center,EDT
2014020264,Honda Center,PDT
2014020163,Rexall Place,MDT
2014020917,Prudential Center,EDT
2014020532,PNC Arena,EDT
2014020480,First Niagara Center,EDT
2014020669,Xcel Energy Center,CDT
2014020490,SAP Center at San Jose,PDT
2014021164,American Airlines Center,CDT
2014021153,Nationwide Arena,EDT
2014020042,Nationwide Arena,EDT
2014020779,Canadian Tire Centre,EDT
2014020028,United Center,CDT
2014020579,United Center,CDT
2014020358,Nationwide Arena,EDT
2014020122,Madison Square Garden,EDT
2014020743,Scotiabank Saddledome,MDT
2014020845,STAPLES Center,PDT
2014020043,Air Canada Centre,EDT
2014020816,Pepsi Center,MDT
2014020231,Air Canada Centre,EDT
2014020446,Rogers Arena,PDT
2014021210,Pepsi Center,MDT
2014020928,Centre Bell,EDT
2014020948,American Airlines Center,CDT
2014020075,Madison Square Garden,EDT
2014020308,MTS Centre,CDT
2014020843,Scotiabank Saddledome,MDT
2014020169,United Center,CDT
2014020255,CONSOL Energy Center,EDT
2014020377,PNC Arena,EDT
2014020458,Scottrade Center,CDT
2014020438,Air Canada Centre,EDT
2014020676,Nassau Coliseum,EDT
2014021030,Madison Square Garden,EDT
2014020860,Madison Square Garden,EDT
2014020915,STAPLES Center,PDT
2014020891,Xcel Energy Center,CDT
2014020653,SAP Center at San Jose,PDT
2014020035,TD Garden,EDT
2014021119,CONSOL Energy Center,EDT
2014020378,Air Canada Centre,EDT
2014020615,Pepsi Center,MDT
2014020238,Xcel Energy Center,CDT
2014020456,Joe Louis Arena,EDT
2014020100,SAP Center at San Jose,PDT
2014020030,Gila River Arena,MST
2014020819,United Center,CDT
2014021097,Rogers Arena,PDT
2014020554,Pepsi Center,MDT
2014020068,CONSOL Energy Center,EDT
2014020362,First Niagara Center,EDT
